"Keyword"	"Fingermarks"
"LOW-COST"	1
"LOW-ORDER DELAUNAY TRIANGLE"	1
"LOW COPY NUMBER STR"	1
"LOW COPY NUMBER TYPING"	1
"LOW PASS FILTER"	1
"LOW TEMPLATE DNA (LT-DNA)"	6
"LUF3"	1
"LUMICYANO"	3
"LUMICYANOÔ"	1
"LUMICYANO™"	2
"LUMIKITÔ"	1
"LUMINESCENCE"	28
"LUMINESCENCE IMAGING"	1
"LUMINESCENCE TECHNIQUE"	1
"LUMINESCENT"	1
"LUMINESCENT LIPID DYES"	1
"LUMINESCENT POWDER"	1
"LUMINESCENT POWDERS"	1
"LUMINOL"	5
"LUMINOL CHEMISTRY"	1
"LYSOCHROMES"	1
"LYSOZYME"	2
"MACHINE LEARNING"	1
"MACRO-RAMAN CHEMICAL IMAGING"	1
"MAGNAÔ JET BLACK"	1
"MAGNETIC"	2
"MAGNETIC MATERIALS"	1
"MAGNETIC NANOPARTICLE"	2
"MAGNETIC POWDER"	4
"MAGNETIC POWDERING"	1
"MAGNETIC POWDERS"	1
"MAGNETIC RESONANCE IMAGING"	1
"MAGNETIC SOLID PHASE EXTRACTION"	1
"MAGNETITE"	2
"MAIL IRRADIATION"	1
"MAJOR FINGER KNUCKLE"	1
"MALAYSIANS"	1
"MALDI"	5
"MALDI-MS/IMS"	1
"MALDI-MSI"	1
"MALDI FTICR MSI"	1
"MALDI IMAGING"	1
"MALDI MSI"	2
"MALIC ACID"	1
"MALICIOUS TRACES"	3
"MALOCCLUSION"	2
"MANDIBULAR CANINE INDEX"	1
"MANN-WHITNEY STATISTIC"	1
"MARDIN"	1
"MARK"	1
"MARKER"	1
"MARKS"	1
"MARKS IN BLOOD"	1
"MARKUP"	1
"MASS SPECTROMETRY (MS)"	12
"MASS SPECTROMETRY IMAGING"	4
"MATCH"	1
"MATCHER PERFORMANCE"	1
"MATCHING"	5
"MATCHING PERFORMANCE"	1
"MATERIAL COMPOSITION"	1
"MATERIALS SCIENCE"	1
"MATHEMATICAL AGING FUNCTION"	1
"MATHEMATICAL MODEL"	4
"MATRIX"	2
"MATRIX-ASSISTED LASER DESORPTION/IONIZATION"	1
"MATRIX-ASSISTED LASER DESORPTION/IONIZATION IMAGING"	1
"MATRIX-ASSISTED LASER DESORPTION/IONIZATION MASS SPECTROMETRY IMAGING"	1
"MATTE ACETATE"	1
"MATTING AGENT"	1
"MCF"	1
"MCR"	1
"MEASUREMENT"	1
"MECHANICAL PROPERTIES"	1
"MECHANISM"	3
"MEDIAN FILTER"	1
"MEDICAL AND BIOLOGICAL IMAGING"	1
"MEETING REPORT"	1
"MELANOCYTIC NEVI"	1
"MERCAPTOSUCCINIC ACID"	1
"MERCHANT MARINERS"	1
"MERKEL CELLS"	1
"MESOPOROUS SILICA NANOPARTICLES"	2
"MESOPOROUS SOL–GEL"	1
"MESSENGER RNA (MRNA)"	1
"META-EXPERT"	1
"METAL"	4
"METAL COMPLEX"	1
"METAL COMPOSITION"	1
"METAL CORROSION"	4
"METAL NANOPARTICLES"	1
"METAL ORGANIC FRAMEWORK (MOF)"	1
"METAL ORGANIC FRAMEWORKS"	1
"METAL OXIDE NPS"	1
"METAL SALT TREATMENT"	1
"METAL SURFACE"	13
"METAL SURFACES"	2
"METALLIC IONS"	1
"METALLIC PAINT"	1
"METALLIC REDUCTION"	1
"METALLIC SUBSTRATES"	1
"METALLIC SURFACES"	3
"METHAMPHETAMINE"	2
"METHANOL"	1
"METHOD MODIFICATION"	1
"METHOD VALIDATION"	2
"METHODOLOGICAL STUDIES"	1
"METHODOLOGY"	2
"METHYL CYANOACRYLATE"	1
"METHYLENE BLUE"	1
"METRIC WOUND DOCUMENTATION"	1
"METROLOGY"	2
"MGF"	1
"MICRO-ARCHITECTURES"	1
"MICRO-EMULSION METHOD"	1
"MICRO-RODS"	1
"MICRO-XRF"	1
"MICROBIAL FORENSICS"	2
"MICROFRACTURES"	1
"MICROPARTICLES"	1
"MICROSCOPIC EXAMINATION"	1
"MICROSCOPY"	3
"MICROSPECTROSCOPY"	1
"MICROSTRUCTURE"	2
"MICROWAVE"	1
"MICROWAVE-ASSISTED HYDROTHERMAL"	1
"MICROWAVE-HYDROTHERMAL SYNTHESIS"	1
"MILITARY"	1
"MINDFULNESS"	1
"MINERAL OIL"	1
"MINI-TAPES"	1
"MINIMAX"	1
"MINOR FINGER KNUCKLE"	1
"MINOR FINGER KNUCKLE RECOGNITIONG"	1
"MINUTIACODE"	1
"MINUTIAE"	17
"MINUTIAE CHARACTERISTICS"	1
"MINUTIAE DESCRIPTOR"	1
"MINUTIAE DISTRIBUTION"	1
"MINUTIAE MATCHING"	1
"MINUTIAE POINTS"	1
"MISIDENTIFICATION"	1
"MISLEADING EVIDENCE"	1
"MISTAKE"	1
"MITOCHONDRIAL DNA (MTDNA)"	3
"MIXED MAGNETIC POWDER"	1
"MIXED MTDNA PROFILE"	1
"MMD"	1
"MOBILE PHONE CAPTURE"	1
"MODELS"	2
"MODIFIED CYCLODEXTRINS"	1
"MOHAN"	1
"MOISTURE"	1
"MOLECULAR BIOLOGY"	1
"MOLECULAR RECOGNITION"	2
"MOLYBDATE"	1
"MONOENOIC FATTY ACIDS"	1
"MONTMORILLONITE"	2
"MORPHOGENESIS"	2
"MORPHOLOGY"	3
"MORPHOMETRICS"	1
"MORPHOMETRY"	1
"MOTIVATION"	1
"MOTOR VEHICLE ACCIDENT"	1
"MOVEMENT"	1
"MRF"	1
"MS IMAGING"	1
"MTDNA SEQUENCING"	1
"MUDDY FOOTWEAR IMPRESSIONS"	1
"MULTI-INSTANCE FUSION"	1
"MULTI-METAL DEPOSITION"	5
"MULTI-RESOLUTION ANALYSIS"	1
"MULTI-SCALE PATCH"	1
"MULTI-TASK LEARNING"	1
"MULTICOLORED FLUORESCENCE"	1
"MULTICOMPONENT SAMPLES"	1
"MULTIFUNCTIONAL PHOSPHOR"	1
"MULTIMEDIA SYSTEMS EVALUATIONS"	1
"MULTIMETAL DEPOSITION"	6
"MULTIMODAL"	1
"MULTIPLE"	1
"MULTIPLE-CRITERIA DECISION ANALYSIS"	1
"MULTIPLEX MSI"	1
"MULTISPECTRAL IMAGING"	1
"MULTIVARIATE ANALYSIS (MVA)"	2
"MULTIVARIATE COMPARISON"	1
"MULTIWAVELENGTH DIGITAL HOLOGRAPHY"	1
"MUMMIFIED"	1
"MUSEUM"	1
"MUSLIM POPULATION"	1
"MUTUAL INFORMATION"	1
"MXRF"	1
"N-BUTYL CYANOACRYLATE"	1
"N170"	1
"NALDI"	1
"NALUF4"	1
"NANO-CRYSTALLINE MATERIALS"	1
"NANO-PHOSPHOR"	1
"NANO POWDER"	1
"NANOALLOYS"	1
"NANOBIO-BASED METHOD"	1
"NANOCARBON POWDER"	1
"NANOCELLULOSE HYDROGELS"	1
"NANOCOMPOSITE"	2
"NANOCOMPOSITES"	3
"NANOCRYSTAL"	2
"NANOCRYSTALLINE"	2
"NANOCRYSTALS"	2
"NANODUMBBELL"	1
"NANOMANIPULATION"	1
"NANOMATERIAL"	1
"NANOMATERIALS"	3
"NANOPARTICLES"	27
"NANOPHOSPHOR"	7
"NANOPHOSPHORS"	1
"NANOPOWDER"	2
"NANOPRTICLES"	1
"NANOSPRAY IONIZATION"	1
"NANOSTRUCTURE"	1
"NANOSTRUCTURED SURFACES"	1
"NANOSTRUCTURES"	1
"NANOTECHNOLOGY"	6
"NANOWIRES"	1
"NAPHTHALENE"	1
"NAPHTHALIMIDE"	1
"NAPHTHOQUINONES"	1
"NARCOTICS"	1
"NAS REPORT"	1
"NATIONAL ACADEMY OF SCIENCE"	1
"NATIONAL RESEARCH COUNCIL REPORT"	1
"NATURAL DYES"	1
"NATURAL OUTDOOR POND"	1
"NBIS"	1
"NEAR-INFRARED"	3
"NEAR-INFRARED DETECTION"	1
"NEAR-INFRARED SPECTRAL IMAGING"	1
"NEAR-INFRARED SPECTROSCOPY"	1
"NEAR-IR SPECTROSCOPY"	1
"NEAR INFRARED"	2
"NEAREST NEIGHBOR"	1
"NEAREST NEIGHBOR REGRESSION"	1
"NEED FOR CLOSURE"	1
"NEGATIVE MODE"	1
"NEURAL NETWORK"	1
"NEURAL RESPONSE"	1
"NEURODEVELOPMENT"	1
"NEURODEVELOPMENTAL"	1
"NEWSPAPERS"	1
"NICKEL POWDER"	1
"NICOTINE"	3
"NIKON D2X"	1
"NILE BLUE"	1
"NILE RED"	3
"NINHYDRIN"	43
"NINHYDRIN-L-ALANINE"	1
"NINHYDRIN ANALOGUES"	1
"NINHYDRIN METHOD"	1
"NINHYDRIN/INDIUM CHLORIDE"	1
"NIR HYPERSPECTRAL IMAGING"	1
"NIR LUMINESCENCE"	1
"NITRATE"	1
"NITRIC ACID"	1
"NITRO-ORGANIC AND PEROXIDE EXPLOSIVES"	1
"NITROCELLULOSE MEMBRANE"	1
"NON-CFC FORMULATIONS"	1
"NON-DESTRUCTIVE ANALYSIS"	3
"NON-INVASIVE ACQUISITION"	1
"NON-INVASIVE FINGERPRINT LIFTING"	2
"NON-METALS"	1
"NON-POROUS"	2
"NON-POROUS ITEM"	1
"NON-POROUS OBJECTS"	1
"NON-POROUS SUBSTRATES"	1
"NON-POROUS SURFACES"	4
"NON-TOXIC"	1
"NONCONDUCTIVE SURFACES"	1
"NONLINEAR FITTING"	1
"NONPARAMETRIC ANALYSIS"	1
"NONPOROUS SUBSTRATE"	2
"NONPOROUS SURFACES"	1
"NORMALIZATION"	1
"NORMATIVE APPROACH"	1
"NORTH INDIAN GUJJARS"	2
"NORTH INDIAN POPULATION"	1
"NORTHEASTERN THAI TEENAGERS"	1
"NORTHERN INDIAN POPULATIONS"	1
"NOTE-TAKING"	1
"NUCLEAR FORENSICS"	1
"NUCLEAR MAGNETIC RESONANCE (NMR)"	2
"NUCLEAR SMUGGLING"	1
"NUCLEATED CELLS"	1
"NUCLEOPHILIC SUBSTITUTIONS"	1
"NUMERICAL SIMULATION"	1
"NUMERICAL STANDARD"	1
"NYLON"	1
"OBFUSCATION"	1
"OBJECTIVE GRADING SCHEME"	1
"OBSERVATIONAL BIASES"	1
"OBSERVER EFFECTS"	2
"OCCLUSION"	1
"OCCUPATIONAL"	1
"OCCUPATIONAL HEALTH AND SAFETY"	1
"OCCUPATIONAL MARKS"	1
"ODONTOLOGY"	3
"OFFENDER"	1
"OIL RED O"	2
"OLD DOCUMENTS"	1
"OLED"	1
"OLEOPHOBIC"	1
"OMNIPHOBIC"	1
"ONE-STEP ANALYSIS"	1
"ONE-STEP SINGLE-METAL NANOPARTICLES DEPOSITION"	1
"ONE UNEXPLAINED DISCREPANCY."	1
"OPD"	1
"OPEN SET RECOGNITION"	1
"OPERATIONAL QUALITY"	1
"OPINION"	2
"OPTICAL BRIGHTENER"	1
"OPTICAL COHERENCE TOMOGRAPHY"	4
"OPTICAL ENHANCEMENT"	4
"OPTICAL MATERIALS"	5
"OPTICAL METHOD"	2
"OPTICAL MICROSCOPY"	1
"OPTICAL PROFILOMETER"	1
"OPTICAL SENSING"	1
"OPTIMIZATION"	3
"OPTO-ELECTRONIC CONVERSION FUNCTION"	1
"ORAL-SUB MUCOUS FIBROSIS"	1
"ORAL SQUAMOUS CELL CARCINOMA"	1
"ORANIANS"	1
"ORDER K-DELAUNAY TRIANGULATION"	1
"ORGANIC-INORGANIC HYBRID COMPOSITES"	1
"ORGANIC COMPLEX"	1
"ORGANIC EXPLOSIVES"	1
"ORGANIZATION"	1
"ORGANOSILANE"	1
"ORIENTATION ESTIMATION"	1
"ORIENTATION FIELD"	2
"ORIENTATION FIELD ENHANCEMENT"	1
"ORIENTATION FIELD MODEL"	1
"ORIENTATION FIELD MODELS"	1
"ORIENTED ATTACHMENT"	1
"ORIGINAL SAMPLING SYSTEM"	1
"ORTHO-PHENYLENEDIAMINE"	1
"ORTHOTICS"	1
"ORTHOVANADATES"	1
"OVERCONFIDENCE"	1
"OVERLAPPED FINGERPRINT"	1
"OVERLAPPED FINGERPRINTS"	3
"OVERLAPPING"	1
"OVERLAPPING FINGERPRINT"	2
"OVERLAPPING FINGERPRINTS"	2
"OXIDATION"	3
"OXYGEN VACANCY"	1
"P-DIMETHYLAMINOBENZALDEHYDE"	2
"P-DIMETHYLAMINOCINNAMALDEHYDE"	1
"P-DOPED"	1
"PACLITAXEL"	1
"PAINT"	2
"PALM"	2
"PALM PRINT"	1
"PALM PRINTS"	1
"PALMAR FLEXION CREASES"	1
"PALMAR PRINT"	1
"PALMAR SWEAT"	1
"PALMPRINT"	3
"PAMAM"	1
"PAPER"	7
"PAPER CHEMISTRY"	1
"PAPER SUBSTRATE"	1
"PAPER SURFACES"	2
"PAPER TOWEL"	1
"PAPILLAR LINES"	1
"PARAMETERS"	3
"PARAROSANILINE"	1
"PARENT-OF-ORIGIN EFFECT"	1
"PARTIAL BLOODY FINGERMARK"	1
"PARTIAL BLOODY FINGERPRINT"	1
"PARTIAL FINGERPRINT"	1
"PARTIAL FINGERPRINT MATCHING"	1
"PARTIAL FINGERPRINTS"	1
"PARTICLE SIZE"	2
"PASSIVE SMOKING"	1
"PATCH-TEST"	1
"PATINATION FLUID"	1
"PATTERN"	4
"PATTERN CLASSIFICATION"	1
"PATTERN CLUSTERING METHODS"	1
"PATTERN DISTRIBUTION"	1
"PATTERN MATCHING"	1
"PATTERN RECOGNITION"	5
"PATTERN TYPE"	1
"PATTERNED INJURIES"	1
"PATTERNING"	1
"PATTERNS"	2
"PCA (PRINCIPAL COMPONENT ANALYSIS)"	1
"PCR TYPING"	1
"PD"	1
"PE-SWAB"	1
"PECA MULTIBAND"	1
"PEDOT"	1
"PEER REVIEW"	1
"PENTADEUTEROETHYL 2-CYANOACRYLATE"	1
"PEPTIDES AND PROTEINS"	1
"PERBROMIDE"	1
"PERCEPTUAL EXPERTISE"	2
"PERFORMANCE"	2
"PERFORMANCE EVALUATION"	2
"PERMANENCE"	1
"PEROXIDASE"	1
"PERSISTENCE"	1
"PERSISTENT LUMINESCENCE"	2
"PERSON VERIFICATION"	1
"PERSONAL CONSTRUCT THEORY"	1
"PERSONAL IDENTIFICATION"	22
"PERYLENE BISIMIDES"	1
"PH"	1
"PHADEBAS®"	1
"PHASE CONTRAST"	1
"PHASE II"	1
"PHASE MEASUREMENT"	1
"PHASE TRANSFER CATALYST"	1
"PHENOTHIAZINE"	1
"PHEOPHORBIDE"	1
"PHILOSOPHY"	2
"PHONES"	1
"PHOSPHOR"	4
"PHOSPHORESCENCE"	2
"PHOSPHORS"	3
"PHOTO-DEGRADATION"	1
"PHOTOACOUSTIC IMAGING"	1
"PHOTOCATALYSIS"	2
"PHOTOCATALYST"	1
"PHOTOCATALYTIC ACTIVITY"	1
"PHOTODEGRADABILITY"	1
"PHOTOGRAMMETRY"	2
"PHOTOGRAPHY"	5
"PHOTOLUMINESCENCE"	37
"PHOTOMETRIC PROPERTIES"	5
"PHOTOPHYSICAL"	1
"PHYSICAL DEVELOPER"	14
"PHYSICAL ENHANCEMENT"	1
"PHYSICAL FACTORS"	1
"PHYSICAL FIT"	1
"PHYSICAL VAPOR DEPOSITION"	2
"PICRATE-RESORCINOL"	1
"PIEZOELECTRIC"	1
"PIGMENT"	1
"PIPE BOMB"	2
"PIXELS-TO-PIXELS AND END-TO-END LEARNING"	1
"PLAIN FINGERPRINT"	1
"PLASMONIC NANOPARTICLES"	1
"PLASTIC"	2
"PLASTIC BAG"	1
"PLASTIC SUBSTRATES"	1
"PLS-DA"	2
"PLSR"	1
"POLARISATION"	1
"POLARIZATION"	1
"POLARIZATION IMAGING"	1
"POLICE"	5
"POLICE FORENSICS"	1
"POLICE INVESTIGATION"	1
"POLICE POLICIES"	1
"POLICY"	2
"POLILIGHT®"	1
"POLIOMYELITIS"	1
"POLY(3,4-ETHYLENEDIOXYTHIOPHENE)"	1
"POLY(DIPHENYLACETYLENE)S"	1
"POLY(P-PHENYLENEVINYLENE) NANOPARTICLES"	1
"POLYANILINE"	1
"POLYCARBONATE"	1
"POLYCOTTON"	1
"POLYCYANO UV"	3
"POLYCYANOACRYLATE"	1
"POLYDACTYLY"	1
"POLYDIACETYLENE"	1
"POLYELECTROLYTE"	1
"POLYESTER"	1
"POLYETHYLENE"	2
"POLYETHYLENEIMINE (PEI)"	1
"POLYMER"	3
"POLYMER BANKNOTE"	5
"POLYMER BANKNOTES"	1
"POLYMER FILMS"	1
"POLYMERASE CHAIN REACTION (PCR)"	5
"POLYMERISATION"	1
"POLYMERIZATION"	3
"POLYMERIZATION MECHANISM"	1
"POLYPEPTIDES"	1
"POLYSYNDACTYLY"	1
"POLYURETHANE"	1
"POLYVINYLPYRROLIDONES"	1
"POPULATION"	1
"PORE EXTRACTION"	1
"PORE FEATURES"	1
"PORE MATCHING"	1
"PORE MODELS"	1
"PORES"	2
"PORES."	1
"POROSCOPY"	5
"POROSITY"	2
"POROUS AND NON-POROUS SURFACES"	1
"POROUS G-C 3 N 4"	1
"POROUS ITEM"	1
"POROUS PHOSPHATE HETEROSTRUCTURE"	1
"POROUS PHOSPHATE HETEROSTRUCTURES"	1
"POROUS SILICON"	1
"POROUS SUBSTRATE"	2
"POROUS SURFACES"	8
"PORPHYRINE"	1
"PORTABLE ANALYTICAL INSTRUMENTS"	1
"POSITIVE MODE"	1
"POSITIVE/NEGATIVE PREDICTIVE VALUE"	1
"POST-PCR PURIFICATION/CONCENTRATION"	1
"POSTMORTEM CHANGE"	1
"POSTMORTEM RADIOLOGY"	1
"POTASSIUM CITRATE"	1
"POTASSIUM HYDROXIDE"	1
"POTENTIALS"	1
"POWDER"	6
"POWDER DEVELOPER"	1
"POWDER DUSTING"	5
"POWDER DUSTING METHOD"	4
"POWDER METHOD"	1
"POWDER PROCESSING"	1
"POWDER STAINING TECHNIQUE"	1
"POWDER SUSPENSION"	5
"POWDER SUSPENSION METHOD"	1
"POWDER SUSPENSIONS"	1
"POWDERED FOOTPRINTS"	1
"POWDERING"	2
"POWDERING MATERIAL"	1
"POWDERING METHOD"	1
"POWDERS TECHNIQUE"	1
"PPD"	1
"PRECISION"	1
"PREDOMINANT"	1
"PREPARATION"	1
"PRESCHOOL CHILD"	1
"PRESENTATION ATTACKS"	1
"PRESS RIG"	1
"PRESSURE"	1
"PRESSURE PLATFORM"	1
"PRESUMPTIVE BLOOD TESTING"	1
"PRESUMPTIVE TESTS"	1
"PREVENTIVE APPLICATION"	1
"PRIMING"	1
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	5
"PRINCIPAL LINES"	1
"PRINCIPLE"	1
"PRINT DEVELOPMENT"	1
"PRINT VISUALIZATION"	21
"PRINTED FINGERPRINTS"	3
"PRINTER"	1
"PRINTING"	1
"PRINTING PRESSES"	1
"PRIVACY"	1
"PRIVACY BY DESIGN"	1
"PROBABILISTIC"	1
"PROBABILISTIC EVIDENCE"	1
"PROBABILITY"	4
"PROBABILITY EVIDENCE"	1
"PROBABILITY MODELS"	1
"PROBABILITY OF CORRESPONDENCE"	1
"PROBABILITY OF RANDOM CORRESPONDENCE (PRC)"	1
"PROBABILITY THEORY"	1
"PROBE"	1
"PROCEDURES"	1
"PROCESSING CONDITIONS"	1
"PROCESSING SEQUENCE"	1
"PRODUCT DEVELOPMENT"	1
"PROFESSIONAL PERFORMANCE"	1
"PROFESSIONAL PRACTICE"	1
"PROFESSIONAL TRAINING"	1
"PROFESSIONAL VISION"	2
"PROFESSIONALISM"	1
"PROFICIENCY TEST"	1
"PROFICIENCY TESTING"	2
"PROGRESSIVE LÈVY STABLE SMOOTHING"	1
"PROOF"	2
"PROPENSITY"	1
"PROTEIN BINDING"	1
"PROTEIN DETECTION"	1
"PROTEIN DYE"	1
"PROTEIN TAGGING"	1
"PROTEINS"	1
"PROTIC SOLVENT"	1
"PRUSSIAN BLUE"	2
"PSEUDO-OPERATIONAL TRIAL"	2
"PSEUDO-OPERATIONAL TRIALS"	1
"PSEUDOSCIENCE"	1
"PSYCHOLOGICAL INFLUENCE"	1
"PSYCHOLOGY"	1
"PSYCHOLOGY AND LAW"	1
"PUBLIC RESEARCH COLLECTION"	1
"PUBLIC SECURITY"	1
"PULP OBSERVATION"	1
"PULSE OXIMETRY"	1
"PVP"	1
"PYRENE"	1
"PYROLYSIS"	1
"PYRROLE"	2
"QCM"	1
"QUALITATIVE"	1
"QUALITY ASSURANCE"	3
"QUALITY METRIC"	2
"QUALITY METRICS"	2
"QUALITYESTIMATION"	1
"QUANTIFICATION"	1
"QUANTIFILER"	1
"QUANTIFILERÆ TRIO"	1
"QUANTITATIVE"	1
"QUANTUM CHEMISTRY"	1
"QUANTUM DOT"	3
"QUANTUM DOTS"	8
"QUANTUM EFFICIENCY"	1
"QUARTZ CRYSTAL MICROBALANCE"	1
"QUESTIONED DOCUMENT"	5
"QUEUES"	1
"QUEUES: APPLICATIONS"	1
"RADIAL LOOP"	1
"RADIATION DAMAGE"	1
"RADIOLOGICAL"	1
"RADIOLOGICAL DECONTAMINATION"	1
"RADIOLOGICAL FORENSICS"	2
"RAFT POLYMERIZATION"	2
"RAJPUTS"	1
"RAMAN"	1
"RAMAN MAPPING"	1
"RAMAN SPECTROSCOPY"	10
"RANDOM DECISION FOREST"	1
"RAPID IDENTIFICATION"	1
"RAPTOR PERSECUTION"	1
"RARE-EARTHS"	1
"RARE EARTH"	1
"RARE EARTH COMPOUND"	1
"RARE EARTHS"	5
"RARE FEATURES"	1
"RARE MINUTIAE FEATURES"	1
"RARITY"	1
"RASCH MODEL"	1
"RASPBERRY PI"	1
"RATIOMETRIC"	1
"RAW IMAGES"	1
"REACTION KINETICS"	1
"REACTION MONITORING"	1
"REAGENT"	1
"RECEIVER OPERATING CHARACTERISTIC (ROC) CURVE"	1
"RECOGNITION"	2
"RECONSTRUCTION"	1
"RECOVERY"	3
"RECOVERY RATES"	1
"RECTIFICATION"	1
"RED EMISSION"	1
"RED LUMINESCENT SENSOR"	1
"RED PHOSPHOR"	1
"REDOX REACTION"	1
"REDUNDANT FEATURE VECTOR"	1
"REFERENCE PRINTS"	1
"REFLECTANCE"	1
"REFLECTED ULTRAVIOLET"	1
"REGION GROWING"	1
"REGION MASKING"	1
"REGION SEGMENTATION"	1
"REGISTRATION"	2
"REGRESSION ANALYSIS"	1
"REGUIBATES"	1
"REHYDRATION"	1
"RELATION"	1
"RELATIVE CONTRAST INDEX"	1
"RELATIVE HUMIDITY"	1
"RELATIVE MASS LOSS"	1
"RELAXATION LABELING"	1
"RELEVANCE FEEDBACK"	1
"RELEVANT SCIENTIFIC COMMUNITY"	1
"RELIABILITY"	8
"RELIABILITY AND BIASABILITY OF EXPERT DECISION MAKING"	1
"RELIABILITY OF METHODS"	1
"RENDER-SAFE"	1
"REPEATABILITY"	2
"REPERTORY GRID"	1
"REPORT"	4
"REPORTS"	1
"REPRODUCIBILITY"	4
"REPRODUCIBLE IMAGE ENHANCEMENT"	1
"RESEARCH"	5
"RESEARCH STRATEGIES"	1
"RESILIENCE"	1
"RESTORATION"	2
"REVEALING OF FINGERPRINT TRACES"	1
"REVERSAL"	1
"REVERSE DEVELOPMENT"	2
"REVERSE REASONING"	1
"REVIEW"	6
"RHODAMINE 6G"	4
"RHODAMINE B"	1
"RICE HUSK"	1
"RIDGE"	1
"RIDGE CHARACTERISTICS"	1
"RIDGE CONTOURS"	1
"RIDGE COUNT"	1
"RIDGE COUNTERS"	1
"RIDGE COUNTS"	1
"RIDGE DENSITY"	13
"RIDGE DETAILS"	2
"RIDGE ENDING"	1
"RIDGE FLOW"	1
"RIDGE ORIENTATION VARIANCE"	1
"RIDGE PATTERN"	1
"RIDGE PERIOD"	1
"RIDGE WIDTH"	1
"RIDGES"	2
"RIDGES TONAL REVERSAL"	1
"RIGHT HAND"	1
"RISK FACTOR"	1
"ROC"	1
"ROCK"	1
"ROLLED FINGERPRINT"	1
"ROUGH REFLECTING SURFACE"	1
"ROUGHNESS FEATURES"	1
"ROUTE ANALYSES"	1
"RSID-BLOOD"	1
"RUBBERGLOVES"	1
"RUBRENE"	1
"RUHEMANN'S PURPLE"	2
"RUTHENIUM TETROXIDE"	1
"SALDI"	1
"SALDI-MS"	2
"SALDI-TOF-MASS SPECTROMETRY"	1
"SALDI-TOF-MS"	2
"SALICYLALDEHYDE"	1
"SALIENCY"	1
"SALIVA"	4
"SALIVARY PH"	1
"SAMPLING"	2
"SANDWICH STRUCTURE"	1
"SAPIENIC ACID"	1
"SATISFACTION"	1
"SATURATED HYDROCARBONS"	1
"SCANNING ELECTRON MICROSCOPY (SEM)"	8
"SCANNING KELVIN MICROPROBE"	1
"SCANNING KELVIN PROBE"	3
"SCANNING PROBE MICROSCOPY"	3
"SCAR"	1
"SCARS"	1
"SCENES OF CRIME"	1
"SCHIZOPHRENIA"	2
"SCHOTTKY BARRIER"	2
"SCIENCE"	3
"SCIENTIFIC CERTAINTY"	1
"SCIENTIFIC EVIDENCE"	3
"SCIENTIFIC METHODS OF IDENTIFICATION"	1
"SCIENTIFIC REQUIREMENTS"	1
"SCORE LEVEL FUSION"	2
"SCORING RULE"	1
"SEA-SPRAY AEROSOL (SSA)"	1
"SEA WATER"	1
"SEBACEOUS COMPOUNDS"	1
"SEBACEOUS FINGERMARK"	1
"SEBACEOUS SWEAT"	2
"SEBUM"	1
"SECM"	2
"SECOND DIGITS"	1
"SECONDARY ION MASS SPECTROMETRY"	2
"SECONDARY TRANSFER"	2
"SECURITY"	2
"SECURITY INK"	2
"SECURITY INK APPLICATIONS"	1
"SECURITY WRITING"	1
"SEGMENTATION"	1
"SEIZED-DRUG ANALYSIS"	1
"SELECTIVE FILTERING"	1
"SELECTIVITY"	2
"SELF-ASSEMBLY"	1
"SELF-LUMINESCENCE"	1
"SELF-TRIGGERED NANOSENSOR"	1
"SEM-EDS"	1
"SEMEN"	1
"SEMI-POROUS"	1
"SEMI-POROUS SUBSTRATES"	1
"SEMICONDUCTOR POLYMER"	1
"SEMICONDUCTOR QUANTUM DOTS"	3
"SENSATION"	1
"SENSITIVITY"	4
"SENSOR"	5
"SEQUENCE"	1
"SEQUENCE DETECTION"	1
"SEQUENCING"	1
"SEQUENTIAL TREATMENT"	1
"SERIAL CRIME"	2
"SERS"	1
"SERS IMAGING"	1
"SEX"	3
"SEX DETERMINATION"	8
"SEX DIFFERENCE"	4
"SEX INFERENCE"	1
"SEXUAL DIMORPHISM"	2
"SEXUAL ORIENTATION"	1
"SHAPE-CONTROLLABLE"	1
"SHEDDER"	1
"SHEDDING"	1
"SHIFT REAGENTS"	1
"SHOE DESIGN"	1
"SHOE IMPRINT"	1
"SHOE PRINT EXAMINATIONS"	1
"SHOEMARK"	1
"SHOES"	1
"SHORT TANDEM REPEAT (STR)"	9
"SHORT TANDEM REPEAT TYPING"	1
"SHORTWAVE ULTRAVIOLET LASER"	1
"SHOTGUN SHELLS"	1
"SIDE DETERMINATION"	1
"SIFT FEATURE"	1
"SIFT FEATURES"	1
"SIGNAL PROCESSING APPLICATIONS"	1
"SIGNIFICANCE"	1
"SIGNIFICANCE TEST"	1
"SILICA"	1
"SILICA-BASED NANOBEADS"	1
"SILICA COATING"	1
"SILICA GEL G POWDER"	1
"SILICA GEL/POROUS G-C 3 N 4"	1
"SILICA NANOPARTICLE"	1
"SILICA NANOPARTICLES"	3
"SILICON"	1
"SILICON NANOPARTICLES"	1
"SILICON NANOSTRUCTURES"	1
"SILICON OXIDE"	1
"SILICONE BREAST IMPLANTS"	1
"SILVER"	3
"SILVER-GOLD NANOPARTICLES"	1
"SILVER AND COPPER PARTICLES"	1
"SILVER COLLOIDS"	1
"SILVER ELECTROLESS DEPOSITION"	1
"SILVER NANOPARTICLES"	1
"SILVER NITRATE"	4
"SILVER PHYSICAL DEVELOPER"	1
"SILVER STAINING"	1
"SILVER SUBSTRATE"	1
