"Keyword"	"Paint-Glass"
"SUBSURFACE RECONSTRUCTION"	1
"SUGARS"	1
"SULFONE EPOXY"	1
"SUPPORT VECTOR MACHINES"	1
"SURFACE-ENHANCED RAMAN SPECTROSCOPY (SERS)"	1
"SURFACE ANALYSIS"	2
"SURFACE EFFECTS"	1
"SURFACE MODIFIED SILICA"	1
"SURFACE PREPARATION"	1
"SURFACE TENSION"	1
"SURFACE TOPOLOGY"	1
"SURROGATE"	1
"SURVEY"	3
"SURVEY DATA"	1
"SUSTAINABILITY IN COATINGS"	2
"SWAT"	1
"SWITCHABLE COATING"	1
"SYNCHRONOUS FLUORESCENCE SPECTROSCOPY"	1
"SYNCHROTRON"	2
"SYNCHROTRON FTIR"	1
"SYNCHROTRON IR MICROSCOPY"	1
"SYNCHROTRON MICROTOMOGRAPHY"	1
"SYNCHROTRON RADIATION"	3
"SYNCHROTRON RADIATION XRF"	1
"SYNTHESIS"	2
"SYNTHETIC FIBERS"	1
"SYNTHETIC ORGANIC PIGMENT"	3
"SYNTHETIC ORGANIC PIGMENTS"	5
"SYNTHETIC PIGMENT ANALYSIS"	1
"SYNTHETIC POLYMERS"	1
"SYNTHETIC RESINS"	1
"TABER TEST"	1
"TABLETOP 3D MICRO-XRF"	1
"TAPES"	1
"TARTRAZINE"	1
"TD-OCT"	1
"TECHNICAL ART HISTORY"	1
"TECHNOLOGICAL ADVANCEMENTS"	1
"TECHNOLOGICAL EVOLUTION"	1
"TECHNOLOGY"	1
"TELEMACO SIGNORINI"	1
"TEM"	1
"TEMPORAL RELATIVE STANDARD DEVIATION"	1
"TERAHERTZ SPECTROSCOPY"	1
"TERRA-COTTA"	1
"TETHERED BIOCIDE"	1
"TETRA(2-7-OCTADIENYL) TITANATE"	1
"THE HAFKENSCHEID COLLECTION"	1
"THERMAL STABILITY"	1
"THERMALLY ASSISTED HYDROLYSIS AND METHYLATION"	2
"THERMALLY ASSISTED HYDROLYSIS AND METHYLATION-GCMS"	1
"THERMOGRAVIMETRIC ANALYSIS (TGA)"	1
"THICKNESS ESTIMATION"	1
"THIN LAYER CHROMATOGRAPHY (TLC)"	1
"THM-GCMS"	1
"TIFFANY"	1
"TIME-OF-FLIGHT MASS SPECTROMETRY"	1
"TIME-RESOLVED RAMAN SPECTROSCOPY"	1
"TIME OF FLIGHT SECONDARY ION MASS SPECTROMETRY"	1
"TIME SERIES ANALYSIS"	1
"TIO2"	2
"TISSUE SAMPLES"	1
"TITANIUM"	1
"TITANIUM DIOXIDE"	1
"TITANIUM DIOXIDE PIGMENTS (RUTILE)"	1
"TMTFTH"	1
"TONDO PAINTING"	1
"TOPCOATS"	2
"TOTAL DISSOLVED SOLIDS"	1
"TOTAL REFLECTION X-RAY FLUORESCENCE"	1
"TOTAL REFLECTION X-RAY FLUORESCENCE SPECTROMETRY"	1
"TOUGHENED GLASS"	1
"TOXICOLOGICAL ANALYSES"	1
"TOXICOLOGICAL ANALYSIS"	1
"TRACE ANALYSIS"	2
"TRACE ELEMENT"	7
"TRACE ELEMENTS DETERMINATION"	1
"TRACE EVIDENCE"	21
"TRADITIONAL RED ARTISTS’ COLORANTS"	1
"TRAFFIC ACCIDENT"	1
"TRAFFIC ACCIDENT INVESTIGATION"	1
"TRAINING"	1
"TRANSFER"	1
"TRANSFER EVIDENCES"	1
"TRANSITION-EDGE SENSOR"	1
"TRANSMETHYLATION"	1
"TRANSMISSION ELECTRON MICROSCOPY"	1
"TRANSMITTANCE-SPECTROSCOPY"	1
"TRANSPORTABLE EQUIPMENT"	1
"TRANSPORTATION COATINGS"	1
"TRIAMMONIUM CITRATE"	1
"TRIMETHYLSILYLATION"	1
"TRINITITE"	2
"TRITERPENOID"	1
"TT"	1
"TUNG OIL"	1
"TWO-LEVEL MODEL"	1
"TXRF"	1
"TXRF: TOTAL-REFLECTION X-RAY ANALYSIS"	1
"ULTRA-LOW ENERGY SIMS"	1
"ULTRAMARINE BLUE"	1
"ULTRAVIOLET-VISIBLE SPECTROSCOPY"	3
"ULVA"	1
"UNCERTAINTY"	1
"UNDERWATER ARCHAEOLOGY"	1
"UNFIRED PAINT DECORATION"	1
"UNIVARIATE ANALYSIS"	1
"UNSUPERVISED HIERARCHICAL CLUSTER ANALYSIS"	1
"URANIUM"	2
"URBAN"	1
"UV-CURING"	2
"UV-VIS SPECTROPHOTOMETRY"	1
"UV-WATERBORNE"	1
"UV ABSORBER"	1
"UV CURING"	1
"UV FLUORESCENCE SPECTROSCOPY"	1
"UV PERMEABILITY"	1
"UV STABILIZER"	1
"UV TRANSMISSION"	1
"UVA LIGHT STABILITY"	1
"VALIDATION"	2
"VALIDATION REPORT"	1
"VAN GOGH"	1
"VANADATE"	1
"VARIABLE SELECTION"	3
"VARIATION"	2
"VARNISH"	8
"VARNISHES"	2
"VEHICLE GLASS"	1
"VEHICLE PAINT COLOURS"	1
"VENICE TURPENTINE"	1
"VERBAL SCALE"	1
"VIBRATIONAL"	1
"VIBRATIONAL SPECTROSCOPIES"	1
"VIBRATIONAL SPECTROSCOPY"	3
"VINCENT VAN GOGH"	1
"VIOLIN"	1
"VIS SPECTROMETRY"	2
"VISCOELASTIC PROPERTIES"	1
"VISCOSITY"	1
"VISIBLE EXCITATION"	1
"VISIBLE MICROSPECTROMETRY"	1
"VISIBLE MICROSPECTROPHOTOMETRY"	1
"VISIBLE RANGE"	1
"VOCS"	1
"VOLATILE ORGANIC COMPOUNDS"	1
"VOLCANIC GLASS"	1
"W&D STUDIES"	1
"WALL PAINTING"	2
"WALL PAINTINGS"	9
"WALLPAPER"	2
"WATER-BASED EPOXY"	1
"WATER BORNE"	1
"WATERBORNE"	2
"WATERBORNE AUTOMOTIVE PAINT EMULSION"	1
"WATERBORNE COATINGS"	1
"WATERBORNE POLYURETHANE"	1
"WATERBORNE POLYURETHANE DISPERSION"	1
"WATERBORNE UV-A LIGHT CURABLE CLEAR COAT"	1
"WAVELENGTH"	1
"WAVELETS"	5
"WDS"	1
"WEAR"	1
"WEATHERING"	4
"WEATHERING AND DURABILITY"	1
"WET EDGE"	1
"WHITE"	1
"WHITE EXTERIOR PAINT"	1
"WHITE PAINT"	1
"WINDSHIELD"	1
"WOOD COATINGS"	2
"WORKABILITY"	1
"WORKS OF ART"	2
"X-RAY ABSORPTION FINE STRUCTURE"	1
"X-RAY ANALYSIS"	1
"X-RAY COMPUTED TOMOGRAPHY"	1
"X-RAY DIFFRACTION (XRD)"	6
"X-RAY DIFFRACTION TOMOGRAPHY"	1
"X-RAY FLUORESCENCE (XRF)"	21
"X-RAY FLUORESCENCE MICROSCOPY"	1
"X-RAY FLUORESCENCE SPECTROMETRY"	4
"X-RAY MAPPING"	1
"X-RAY MICROANALYSIS"	2
"X-RAY MICRODIFFRACTION"	1
"X-RAY POWDER DIFFRACTION"	3
"X-RAY POWDER MICRO-DIFFRACTION"	1
"X-RAY SCATTERING"	1
"X-RAY SPECTROSCOPY"	2
"XRD"	3
"YELLOW PIGMENTS"	2
"ZEOLITE"	1
"ZINC OXIDE"	1
"ZINC PHOSPHATE"	1
"ZINC PYRITHIONE"	1
"ZNO"	1
