TitleAbrevated	Fulltitle
FUNGAL BIOL.	FUNGAL BIOLOGY
FUNGAL CONSERV.	FUNGAL CONSERVATION
FUNGAL DIVERS.	FUNGAL DIVERSITY
FUNGAL ECOL.	FUNGAL ECOLOGY
FUNGAL GENET. BIOL.	FUNGAL GENETICS AND BIOLOGY
FUTURES	FUTURES
GAIA	GAIA
GARTENAMT	GARTENAMT
GARTENBAU	GARTENBAU
GAS WASSER ABWASSER	GAS, WASSER, ABWASSER
GEFIED. WELT	GEFIEDERTE WELT
GEGENBAURS MORPHOL. JAHRB.	GEGENBAURS MORPHOLOGISCHES JAHRBUCH
GEN. COMP. ENDOCRINOL.	GENERAL AND COMPARATIVE ENDOCRINOLOGY
GEN. TECH. REP. USDA FOR. SERV.	GENERAL TECHNICAL REPORT USDA FOREST SERVICE
GENES GENET. SYST.	GENES AND GENETIC SYSTEMS
GENET. RES.	GENETICAL RESEARCH
GENET. MOL. RES.	GENETICS AND MOLECULAR RESEARCH
GENETICS	GENETICS
GENOME BIOL. EVOL.	GENOME BIOLOGY AND EVOLUTION
GENOME RES.	GENOME RESEARCH
GEOAGENDA	GEOAGENDA
GEOBIOL.	GEOBIOLOGY
GEOBOT. HELV.	GEOBOTANICA HELVETICA
GEOBOT. SEL.	GEOBOTANICA SELECTA
GEOCHEM. GEOPHYS. GEOSYST.	GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS
GEOCHIM. COSMOCHIM. ACTA	GEOCHIMICA ET COSMOCHIMICA ACTA
GEOCHRONOMETRIA	GEOCHRONOMETRIA
GEODERMA	GEODERMA
GEODIN. ACTA	GEODINAMICA ACTA
GEOFIS. PURA APPL.	GEOFISICA PURA E APPLICATA
GEOFORUM	GEOFORUM
GEOGR. FIS. DINAM. QUAT.	GEOGRAFIA FISICA E DINAMICA QUATERNARIA
GEOGR. ANN.	GEOGRAFISKA ANNALER
GEOGR. ANN. SER. A-PHYS. GEOGR.	GEOGRAFISKA ANNALER: SERIES A, PHYSICAL GEOGRAPHY
GEOGR. POL.	GEOGRAPHIA POLONICA
GEOGR. BERN.	GEOGRAPHICA BERNENSIA
GEOGR. HELV.	GEOGRAPHICA HELVETICA
GEOGR. J.	GEOGRAPHICAL JOURNAL
GEOGR. REV.	GEOGRAPHICAL REVIEW
GÉOGR. PHYS. QUAT.	GÉOGRAPHIE PHYSIQUE ET QUATERNAIRE
GEOGR. RUNDSCH.	GEOGRAPHISCHE RUNDSCHAU
GEOGR. COMPASS	GEOGRAPHY COMPASS
GEOJOURNAL	GEOJOURNAL
GEOLOGY	GEOLOGY
GEOMATIK SCHWEIZ	GEOMATIK SCHWEIZ
GEOMICROBIOL. J.	GEOMICROBIOLOGY JOURNAL
GEOMORPHOLOGY	GEOMORPHOLOGY
GEO-ÖKO	GEO-ÖKO
GEO PANORAMA	GEOPANORAMA
GEOPHYS. J. INT.	GEOPHYSICAL JOURNAL INTERNATIONAL
GEOPHYS. PROSPECT.	GEOPHYSICAL PROSPECTING
GEOPHYS. RES. ABSTR.	GEOPHYSICAL RESEARCH ABSTRACTS
GEOPHYS. RES. LETT.	GEOPHYSICAL RESEARCH LETTERS
GEOSCI. INSTRUM. METHODS DATA SYS.	GEOSCIENTIFIC INSTRUMENTATION, METHODS AND DATA SYSTEMS
GEOSCI. MODEL DEV. DISCUSS.	GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS
GEOSCI. MODEL DEV.	GEOSCIENTIFIC MODEL DEVELOPMENT
GEOTECH. GEOL. ENG.	GEOTECHNICAL AND GEOLOGICAL ENGINEERING
GEOTEXT. GEOMEMBR.	GEOTEXTILES AND GEOMEMBRANES
GESETZGEB. BUNDES KANTONE	GESETZGEBUNG DES BUNDES UND DER KANTONE
GESUNDE PFLANZEN	GESUNDE PFLANZEN
GIESS. GEOGR. SCHR.	GIESSENER GEOGRAPHISCHE SCHRIFTEN
G. POP.	GIORNALE DEL POPOLO
GIT, FACHZ. LAB.	GIT, FACHZEITSCHRIFT FÜR DAS LABORATORIUM
GLOB. PLANET. CHANG.	GLOBAL AND PLANETARY CHANGE
GLOB. BIOGEOCHEM. CYCLES	GLOBAL BIOGEOCHEMICAL CYCLES
GLOB. CHANG. BIOL.	GLOBAL CHANGE BIOLOGY
GLOB. ECOL. BIOGEOGR. LETT.	GLOBAL ECOLOGY AND BIOGEOGRAPHY LETTERS
GLOB. ECOL. BIOGEOGR.	GLOBAL ECOLOGY BIOGEOGRAPHY
GLOB. ENVIRON. CHANG.	GLOBAL ENVIRONMENTAL CHANGE
G' PLUS	G'PLUS
GRANULAR MATTER	GRANULAR MATTER
GRAPH. SCR.	GRAPHIS SCRIPTA
GRASS FORAGE SCI.	GRASS AND FORAGE SCIENCE
GRASSL. SCI. EUR.	GRASSLAND SCIENCE IN EUROPE
GT. BASIN NAT.	GREAT BASIN NATURALIST
GT. LAKES ENTOMOL.	GREAT LAKES ENTOMOLOGIST
GREDLERIANA	GREDLERIANA
GROUND WATER	GROUND WATER
GRÜNE	GRÜNE
GRÜNZEIT	GRÜNZEIT
HANDB. VEG. SCI.	HANDBOOK OF VEGETATION SCIENCE
HELV. ARCHAEOL.	HELVETIA ARCHAEOLOGICA
HEREDITY	HEREDITY
HERPETOL. BULL.	HERPETOLGICAL BULLETIN
HERPETOL. CONSERV. BIOL.	HERPETOLOGICAL CONSERVATION AND BIOLOGY
HERPETOL. REV.	HERPETOLOGICAL REVIEW
HERZOGIA	HERZOGIA
HESPA MITT.	HESPA MITTEILUNGEN
HESS. FLORIST. BRIEFE	HESSISCHE FLORISTISCHE BRIEFE
HOKKAIDO UNIV. COLLECT. SCH. ACAD. PAP. HUSCAP	HOKKAIDO UNIVERSITY COLLECTION OF SCHOLARLY AND ACADEMIC PAPERS: HUSCAP
HOLARCT. ECOL.	HOLARCTIC ECOLOGY
HOLOCENE	HOLOCENE
HOLZ ROH- WERKST.	HOLZ ALS ROH- UND WERKSTOFF
HOLZENERG.-BULL.	HOLZENERGIE-BULLETIN
HOLZFORSCHUNG	HOLZFORSCHUNG
HOLZFORSCH. SCHWEIZ	HOLZFORSCHUNG SCHWEIZ
HOLZFORSCH. HOLZVERWERT.	HOLZFORSCHUNG UND HOLZVERWERTUNG
HOLZ-KUR.	HOLZ-KURIER
HOLZPREISSTAT. - ROHHOLZ	HOLZPREISSTATISTIK - ROHHOLZ
HOLZ, SCHWEIZ. HOLZZTG.	HOLZ, SCHWEIZERISCHE HOLZZEITUNG
HOLZ-ZENT.BL.	HOLZ-ZENTRALBLATT
HOLZZUCHT	HOLZZUCHT
HORTIC. ROMANDE	HORTICULTURE ROMANDE
HOTEL J.	HOTEL JOURNAL
HOTEL TOUR. REV.	HOTEL + TOURISTIK REVUE
HOUILLI BLANCHE	HOUILLE BLANCHE
HOUS. POLICY DEBATE	HOUSING POLICY DEBATE
HUM. DIMENS. WILDL.	HUMAN DIMENSIONS OF WILDLIFE
HUM. ECOL.	HUMAN ECOLOGY
HUM. ORGAN.	HUMAN ORGANIZATION
HUMIC SUBST. ENVIRON.	HUMIC SUBSTANCES IN THE ENVIRONMENT
HYDROBIOLOGIA	HYDROBIOLOGIA
HYDROL. PROCESS.	HYDROLOGICAL PROCESSES
HYDROL. SCI. BULL.	HYDROLOGICAL SCIENCES BULLETIN
HYDROL. SCI. J.	HYDROLOGICAL SCIENCES JOURNAL
HYDROL. WASSERBEWIRTSCH.	HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG
HYDROL. EARTH SYST. SCI.	HYDROLOGY AND EARTH SYSTEM SCIENCES
HYDROL. RES.	HYDROLOGY RESEARCH
HYSTRIX	HYSTRIX
IAHS PUBL.	IAHS PUBLICATION
IALE (INTERNATIONAL ASSOCIATION FOR LANDSCAPE ECOLOGY) BULL.	IALE BULLETIN
IAPS BULL.	IAPS BULLETIN
IAWA J.	IAWA JOURNAL
IBIS	IBIS
IBM-NACHR.	IBM-NACHRICHTEN
ICARUS	ICARUS
ICE CLIM. NEWS	ICE AND CLIMATE NEWS
IEEE J. SEL. TOP. APPL. EARTH OBS. REMOTE SENS.	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING
IEEE TRANS. GEOSCI. REMOTE SENS.	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING
IET IMAGE PROCESS.	IET IMAGE PROCESSING
IFOREST	IFOREST
IM DIENSTE WALD LANDSCH.	IM DIENSTE VON WALD UND LANDSCHAFT
IMPARTIAL	IMPARTIAL
IND. ORGAN.	INDUSTRIELLE ORGANISATION
INFECT. GENET. EVOL.	INFECTION, GENETICS AND EVOLUTION
INFOBL. ARBEITSGR. WALDPLAN. -MANAGE.	INFOBLATT ARBEITSGRUPPE WALDPLANUNG UND -MANAGEMENT
ÎNFO FLORA	INFO FLORA
INFO GESUNDH.	INFO GESUNDHEIT
INF. NAT.SCHUTZ LANDSCH.PFL. NORDWESTDTSCHL.	INFORMATIONEN ZU NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN NORDWESTDEUTSCHLAND
INF. REP. NORTH. FOR. RES. CENT.	INFORMATION REPORT NORTHERN FOREST RESEARCH CENTRE
INF.BER. BAYER. LANDESAMTES WASSERWIRTSCH.	INFORMATIONSBERICHTE DES BAYERISCHEN LANDESAMTES FÜR WASSERWIRTSCHAFT
INF.BL. FORSCH.BEREICHES LANDSCH.	INFORMATIONSBLATT DES FORSCHUNGSBEREICHES LANDSCHAFT
INF.BL. FORSCH.BEREICHES LANDSCH.ÖKOL.	INFORMATIONSBLATT DES FORSCHUNGSBEREICHES LANDSCHAFTSÖKOLOGIE
INF.BL. LANDSCH.	INFORMATIONSBLATT LANDSCHAFT
INF.BL. WALD	INFORMATIONSBLATT WALD
INF.DIENST NAT.SCHUTZ NIEDERSACHS.	INFORMATIONSDIENST NATURSCHUTZ NIEDERSACHSEN
INF. ZÜR. WALD	INFORMATION ZÜRCHER WALD
INF. BOT. ITAL.	INFORMATORE BOTANICO ITALIANO
ING.BIOL. MITT.BL.	INGENIEURBIOLOGIE MITTEILUNGSBLATT
INSECT CONSERV. DIVERS.	INSECT CONSERVATION AND DIVERSITY
INSECTES SOCIAUX	INSECTES SOCIAUX
INST. WASSERWES. MITT.	INSTITUT FÜR WASSERWESEN MITTEILUNGEN
INTEGR. ENVIRO. ASSESS. MANAGE.	INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT
INTEGR. PROJ. NEWS	INTEGRATE PROJECT NEWS
INTEGR. ZOOL.	INTEGRATIVE ZOOLOGY
INTERDISCIP. SCI. REV.	INTERDISCIPLINARY SCIENCE REVIEW
INT. ARCH. PHOTOGRAMM. REMOTE SENS.	INTERNATIONAL ARCHIVES OF PHOTOGRAMMETRY AND REMOTE SENSING
INT. MITT. BODENKD.	INTERNATIONALE MITTEILUNGEN FÜR BODENKUNDE
INT. ENVIRON. AGREEM. POLIT. LAW ECON.	INTERNATIONAL ENVIRONMENTAL AGREEMENTS: POLITICS, LAW AND ECONOMICS
INT. FOR. FIRE NEWS	INTERNATIONAL FOREST FIRE NEWS
INT. FOR. REV.	INTERNATIONAL FORESTRY REVIEW
INT. INNOV.	INTERNATIONAL INNOVATION
INT. J. APPL. EARTH OBS. GEOINF.	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION
INT. J. ARCHIT. URBAN DEV.	INTERNATIONAL JOURNAL OF ARCHITECTURE AND URBAN DEVELOPMENT
INT. J. BIODIVERS. SCI. ECOSYST. SERV. MANAGE.	INTERNATIONAL JOURNAL OF BIODIVERSITY SCIENCE ECOSYSTEM SERVICES AND MANAGEMENT
INT. J. BIOMETEOROL.	INTERNATIONAL JOURNAL OF BIOMETEOROLOGIE
INT. J. CLIMATOL.	INTERNATIONAL JOURNAL OF CLIMATOLOGY
INT. J. COMMUN.	INTERNATIONAL JOURNAL OF COMMUNICATION
INT. J. DISASTER RISK SCI.	INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE
INT. J. ENG. EDUC.	INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION
INT. J. ENVIRON. HEALTH RES.	INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH
INT. J. EROS. CONTROL ENG.	INTERNATIONAL JOURNAL OF EROSION CONTROL ENGINEERING
INT. J. FRACT.	INTERNATIONAL JOURNAL OF FRACTURE
INT. J. GEOGR. INF. SCI.	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE
INT. J. GEOGR. INF. SYST.	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SYSTEMS
INT. J. GREENH. GAS CONTROL	INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL
INT. J. HERIT. DIGIT. ERA	INTERNATIONAL JOURNAL OF HERITAGE IN THE DIGITAL ERA
INT. J. HERIT. STUD.	INTERNATIONAL JOURNAL OF HERITAGE STUDIES
INT. J. HOSP. MANAGE.	INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT
INT. J. LIMNOL.	INTERNATIONAL JOURNAL OF LIMNOLOGY
INT. J. MOD. PHYS. C	INTERNATIONAL JOURNAL OF MODERN PHYSICS C
INT. J. PEST MANAGE.	INTERNATIONAL JOURNAL OF PEST MANAGEMENT
INT. J. PHYTOREMEDIAT.	INTERNATIONAL JOURNAL OF PHYTOREMEDIATION
INT. J. PUBLIC HEALTH	INTERNATIONAL JOURNAL OF PUBLIC HEALTH
INT. J. REMOTE SENS.	INTERNATIONAL JOURNAL OF REMOTE SENSING
INT. J. SPRAY COMBUST. DYN.	INTERNATIONAL JOURNAL OF SPRAY AND COMBUSTION DYNAMICS
INT. J. SYST. EVOL. MICROBIOL.	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY
INT. J. WILDERNESS	INTERNATIONAL JOURNAL OF WILDERNESS
INT. J. WILDLAND FIRE	INTERNATIONAL JOURNAL OF WILDLAND FIRE
INT. LICHENOL. NEWSL.	INTERNATIONAL LICHENOLOGICAL NEWSLETTER
INT. MARK. REV.	INTERNATIONAL MARKETING REVIEW
INT. PEAT J.	INTERNATIONAL PEAT JOURNAL
INT. REG. SCI. REV.	INTERNATIONAL REGIONAL SCIENCE REVIEW
INT. SOC. SCI. J.	INTERNATIONAL SOCIAL SCIENCE JOURNAL
INT. TREE CROPS J.	INTERNATIONAL TREE CROPS JOURNAL
INVEST. CIENC.	INVESTIGACION Y CIENCIA
IOWA AGRIC. EXP. STN. RES. BULL.	IOWA AGRICULTURAL EXPERIMENT STATION RESEARCH BULLETIN
IR. NAT. J.	IRISH NATURALISTS JOURNAL
ISOT. ENVIRON. HEALTH STUD.	ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES
ISPRS J. PHOTOGRAMM. REMOTE SENS.	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
ISR. J. PLANT SCI.	ISRAEL JOURNAL OF PLANT SCIENCE
ITAL. FOR. MONT.	ITALIA FORESTALE E MONTANA
ITAL. J. FOR. MT. ENVIRON.	ITALIAN JOURNAL OF FOREST AND MOUNTAIN ENVIRONMENTS
ITC-JOURNAL	ITC-JOURNAL
JAGD NAT.	JAGD UND NATUR
JAHRB. SCHWEIZ. GES. UR- FRÜHGESCH.	JAHRBUCH DER SCHWEIZERISCHEN GESELLSCHAFT FÜR UR- UND FRÜHGESCHICHTE
JAHRB. SCHWEIZ. NAT.FORSCH. GES.	JAHRBUCH DER SCHWEIZERISCHEN NATURFORSCHENDEN GESELLSCHAFT
JAHRB. SCHWEIZ. WALD- HOLZWIRTSCH.	JAHRBUCH DER SCHWEIZERISCHEN WALD- UND HOLZWIRTSCHAFT
JAHRB. ST. GALLISCHE NAT.WISS. GES.	JAHRBUCH DER ST. GALLISCHEN NATURWISSENSCHAFTLICHEN GESELLSCHAFT
JAHRB. OBERAARGAU	JAHRBUCH DES OBERAARGAUS
JAHRB. SCHWEIZ. WASSERWIRTSCHAFTS-VERB.	JAHRBUCH DES SCHWEIZERISCHEN WASSERWIRTSCHAFTSVERBANDES
JAHRB. VER. SCHUTZ ALP.PFLANZEN -TIERE	JAHRBUCH DES VEREINS ZUM SCHUTZE DER ALPENPFLANZEN UND -TIERE
JAHRB. NAT.SCHUTZ LANDSCH.PFL.	JAHRBUCH FÜR NATURSCHUTZ UND LANDSCHAFTSPFLEGE
JAHRB. SCHWEIZ. AKAD. NAT.WISS.	JAHRBUCH SCHWEIZERISCHE AKADEMIE DER NATURWISSENSCHAFTEN
JAHRB. THUNER- BRIENZERSEE	JAHRBUCH VOM THUNER- UND BRIENZERSEE
JAHRB. ZÜR.SEE	JAHRBUCH VOM ZÜRICHSEE
JAHRESBER. NAT.FORSCH. GES. GRAUBÜNDEN	JAHRESBERICHT DER NATURFORSCHENDEN GESELLSCHAFT GRAUBÜNDEN
JAHRESBER. LIGNUM	JAHRESBERICHT LIGNUM
JAHRESH. VER. VATERL. NAT.KD. WÜRTT.	JAHRESHEFTE DES VEREINS FÜR VATERLÄNDISCHE NATURKUNDE IN WÜRTTEMBERG
JKI DATA SHEETS	JKI DATA SHEETS
J. CAN. SCI. TERRE	JOURNAL CANADIEN DES SCIENCES DE LA TERRE
J. J.E.C.	JOURNAL DES J.E.C
J. FOR. SUISSE	JOURNAL FORESTIER SUISSE
J. NAT. CONSERV.	JOURNAL FOR NATURE CONSERVATION
J. ORNITHOL.	JOURNAL FÜR ORNITHOLOGIE
J. ADVERT. RES.	JOURNAL OF ADVERTISING RESEARCH
J. AEROSOL SCI.	JOURNAL OF AEROSOL SCIENCE
J. AESTHET. ART CRITISISM	JOURNAL OF AESTHETICS AND ART CRITICISM
J. AGRIC. FOOD CHEM.	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY
J. AGRIC. RES.	JOURNAL OF AGRICULTURAL RESEARCH
J. AGRIC. SCI.	JOURNAL OF AGRICULTURAL SCIENCE
J. ANAT.	JOURNAL OF ANATOMY
J. ANIM. ECOL.	JOURNAL OF ANIMAL ECOLOGY
J. ANIM. PHYSIOL. ANIM. NUTR.	JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION
J. APIC. RES.	JOURNAL OF APICULTURAL RESEARCH
J. APPL. BEHAV. ANAL.	JOURNAL OF APPLIED BEHAVIOR ANALYSIS
J. APPL. ECOL.	JOURNAL OF APPLIED ECOLOGY
J. APPL. ENTOMOL.	JOURNAL OF APPLIED ENTOMOLOGY
J. APPL. METEOROL. CLIMATOL.	JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY
J. APPL. METEOROL.	JOURNAL OF APPLIED METEOROLOGY
J. APPL. REMOTE SENS.	JOURNAL OF APPLIED REMOTE SENSING
J. APPL. SOC. PSYCHOL.	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
J. ARCHAEOL. SCI.	JOURNAL OF ARCHAEOLOGICAL SCIENCE
J. ARCHIT. PLAN. RES.	JOURNAL OF ARCHITECTURAL AN PLANNING RESEARCH
J. ARID ENVIRON.	JOURNAL OF ARID ENVIRONMENTS
J. AVIAN BIOL.	JOURNAL OF AVIAN BIOLOGY
J. BACTERIOL.	JOURNAL OF BACTERIOLOGY
J. BIOGEOGR.	JOURNAL OF BIOGEOGRAPHY
J. BIOL. CHEM.	JOURNAL OF BIOLOGICAL CHEMISTRY
J. BIOMETEOROL.	JOURNAL OF BIOMETEOROLOGY
J. BIOPHYS. CHEM.	JOURNAL OF BIOPHYSICAL CHEMISTRY
J. BRYOL.	JOURNAL OF BRYOLOGY
J. BUS. RES.	JOURNAL OF BUSINESS RESEARCH
J. CHEM. ECOL.	JOURNAL OF CHEMICAL ECOLOGY
J. CHEM. PHYS.	JOURNAL OF CHEMICAL PHYSICS
J. CLIM. APPL. METEOROL.	JOURNAL OF CLIMATE AND APPLIED METEOROLOGY
J. CLIM.	JOURNAL OF CLIMATE
J. COAST. RES.	JOURNAL OF COASTAL RESEARCH
J. COMMUNITY APPL. SOC. PSYCHOL.	JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY
J. COMP. NEUROL.	JOURNAL OF COMPARATIVE NEUROLOGY
J. COMP. PHYSIOL.	JOURNAL OF COMPARATIVE PHYSIOLOGY
J. COMPUT. GRAPH. STAT.	JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS
J. CONSUM. RES.	JOURNAL OF CONSUMER RESEARCH
J. CONTAM. HYDROL.	JOURNAL OF CONTAMINANT HYDROLOGY
J. CULT. HERIT.	JOURNAL OF CULTURAL HERITAGE
J. DEV. STUD.	JOURNAL OF DEVELOPMENT STUDIES
J. ECOL.	JOURNAL OF ECOLOGY
J. ECON. ENTOMOL.	JOURNAL OF ECONOMIC ENTOMOLOGY
J. ECON. GEOGR.	JOURNAL OF ECONOMIC GEOGRAPHY
J. ECOTOUR.	JOURNAL OF ECOTOURISM
J. ENDOCRINOL.	JOURNAL OF ENDOCRINOLOGY
J. ENG. MECH.	JOURNAL OF ENGINEERING MECHANICS
J. ENVIRON. ECON. MANAGE.	JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT
J. ENVIRON. EDUC.	JOURNAL OF ENVIRONMENTAL EDUCATION
J. ENVIRON. MANAGE.	JOURNAL OF ENVIRONMENTAL MANAGEMENT
J. ENVIRON. MONIT.	JOURNAL OF ENVIRONMENTAL MONITORING
J. ENVIRON. PLAN. MANAGE.	JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT
J. ENVIRON. POLICY PLAN.	JOURNAL OF ENVIRONMENTAL POLICY AND PLANNING
J. ENVIRON. PSYCHOL.	JOURNAL OF ENVIRONMENTAL PSYCHOLOGY
J. ENVIRON. QUAL.	JOURNAL OF ENVIRONMENTAL QUALITY
J. ENVIRON. RADIOACT.	JOURNAL OF ENVIRONMENTAL RADIOACTIVITY
J. EPIDEMIOL. COMMUNITY HEALTH	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH
J. EUKARYOT. MICROBIOL.	JOURNAL OF EUKARYOTIC MICROBIOLOGY
J. EVOL. BIOL.	JOURNAL OF EVOLUTIONARY BIOLOGY
J. EXP. BIOL.	JOURNAL OF EXPERIMENTAL BIOLOGY
J. EXP. BOT.	JOURNAL OF EXPERIMENTAL BOTANY
J. EXP. SOC. PSYCHOL.	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY
J. FIELD ARCHAEOL.	JOURNAL OF FIELD ARCHAEOLOGY
J. FLOOD RISK MANAGE.	JOURNAL OF FLOOD RISK MANAGEMENT
J. FLUID MECH.	JOURNAL OF FLUID MECHANICS
J. FOR. ECON.	JOURNAL OF FOREST ECONOMICS
J. FOR. RES.	JOURNAL OF FOREST RESEARCH
J. FOR.	JOURNAL OF FORESTRY
J. GEN. VIROL.	JOURNAL OF GENERAL VIROLOGY
J. GEOCHEM. EXPLOR.	JOURNAL OF GEOCHEMICAL EXPLORATION
J. GEOPHYS. RES. ATMOS.	JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES
J. GEOPHYS. RES.: BIOGEOSCI.	JOURNAL OF GEOPHYSICAL RESEARCH: BIOGEOSCIENCES
J. GEOPHYS. RES. EARTH SURF.	JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE
J. GEOPHYS. RES. F: EARTH SURF.	JOURNAL OF GEOPHYSICAL RESEARCH: EARTH SURFACE
J. GEOPHYS. RES.	JOURNAL OF GEOPHYSICAL RESEARCH
J. GEOTECH. GEOENVIRON. ENG.	JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING
J. GLACIOL.	JOURNAL OF GLACIOLOGY
J. HERED.	JOURNAL OF HEREDITY
J. HERPETOL.	JOURNAL OF HERPETOLOGY
J. HIST. GEOGR.	JOURNAL OF HISTORICAL GEOGRAPHY
J. HOUS. ELDER.	JOURNAL OF HOUSING FOR THE ELDERLY
J. HYDRAUL. ENG.	JOURNAL OF HYDRAULIC ENGINEERING
J. HYDRAUL. RES.	JOURNAL OF HYDRAULIC RESEARCH
J. HYDROL. ENG.	JOURNAL OF HYDROLOGIC ENGINEERING
J. HYDROL.	JOURNAL OF HYDROLOGY
J. HYDROMETEOROL.	JOURNAL OF HYDROMETEOROLOGY
J. HYMENOPTERA RES.	JOURNAL OF HYMENOPTERA RESEARCH
J. INORG. BIOCHEM.	JOURNAL OF INORGANIC BIOCHEMISTRY
J. INSECT BEHAV.	JOURNAL OF INSECT BEHAVIOR
J. INSECT CONSERV.	JOURNAL OF INSECT CONSERVATION
J. INSECT PHYSIOL.	JOURNAL OF INSECT PHYSIOLOGY
J. INTERDISCIP. HIST.	JOURNAL OF INTERDISCIPLINARY HISTORY
J. INTERPRET. RES.	JOURNAL OF INTERPRETATION RESEARCH
J. IRRIG. DRAIN. ENG.	JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING
J. JPN. BOT.	JOURNAL OF JAPANESE BOTANY
J. LAND USE SCI.	JOURNAL OF LAND USE SCIENCE
J. LEIS. RES.	JOURNAL OF LEISURE RESEARCH
J. LIMNOL.	JOURNAL OF LIMNOLOGY
J. MAGN. MAGN. MATER.	JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS
J. MAMMAL.	JOURNAL OF MAMMALOGY
J. MAR. RES.	JOURNAL OF MARINE RESEARCH
J. MARK. MANAGE.	JOURNAL OF MARKETING MANAGEMENT
J. MARK.	JOURNAL OF MARKETING
J. MARK. RES.	JOURNAL OF MARKETING RESEARCH
J. MATH. BIOL.	JOURNAL OF MATHEMATICAL BIOLOGY
J. MICROBIOL. METHODS	JOURNAL OF MICROBIOLOGICAL METHODS
J. MICROSC.	JOURNAL OF MICROSCOPY
J. MOL. BIOL.	JOURNAL OF MOLECULAR BIOLOGY
J. MOL. ECOL.	JOURNAL OF MOLECULAR ECOLOGY
J. MORPHOL.	JOURNAL OF MORPHOLOGY
J. MT. SCI.	JOURNAL OF MOUNTAIN SCIENCE
J. MULTIVAR. ANAL.	JOURNAL OF MULTIVARIATE ANALYSIS
J. NAT. HIST.	JOURNAL OF NATURAL HISTORY
J. NEMATOL.	JOURNAL OF NEMATOLOGY
J. NONPARAMETRIC STAT.	JOURNAL OF NONPARAMETRIC STATISTICS
J. OPT. TECHNOL.	JOURNAL OF OPTICAL TECHNOLOGY
J. OUTDOOR RECREAT. TOUR.	JOURNAL OF OUTDOOR RECREATION AND TOURISM
J. OUTDOOR RECREAT. STUD.	JOURNAL OF OUTDOOR RECREATION STUDIES
J. PALEOLIMNOL.	JOURNAL OF PALEOLIMNOLOGY
J. PARK RECREAT. ADM.	JOURNAL OF PARK AND RECREATION ADMINISTRATION
J. PERS. SOC. PSYCHOL.	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
J. PHYCOL.	JOURNAL OF PHYCOLOGY
J. PHYS. OCEANOGR.	JOURNAL OF PHYSICAL OCEANOGRAPHY
J. PHYS.	JOURNAL OF PHYSICS
J. PLACE MANAG. DEV.	JOURNAL OF PLACE MANAGEMENT AND DEVELOPMENT
J. PLAN. LIT.	JOURNAL OF PLANNING LITERATURE
J. PLANT ECOL.	JOURNAL OF PLANT ECOLOGY
J. PLANT NUTR. SOIL SCI.	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE
J. PLANT NUTR.	JOURNAL OF PLANT NUTRITION
J. PLANT PHYSIOL.	JOURNAL OF PLANT PHYSIOLOGY
J. PLANT RES.	JOURNAL OF PLANT RESEARCH
J. PROTEOMICS	JOURNAL OF PROTEOMICS
J. QUAT. SCI.	JOURNAL OF QUATERNARY SCIENCE
J. RADIOANAL. NUCL. CHEM.	JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY
